SYEDA,,ABUBAKER,,F,0,15/10/1928,2677349612,,330 E 26TH STREET,13C,NEW YORK,NY,10010,,SABUBAKER@AMGGT.COM,4748023,15989424,
SYEDA,,RICHMAN,,F,875671805,14/10/1928,7326768459,,330 E 26TH STREET,13C,NEW YORK,NY,10010,,,4748034,15699370,

PATRICIA,,MANCUSO,,F,0,19/02/1949,7188768251,,2323 EASTCHESTER ROAD,,BRONX,NY,10460,,,4748049,15456760,
PATRICIA,,MANCUSO,,F,801341668,10/10/1920,7188768251,,,,,,-1,,,4748058,15963368,

RHIANNA,,DILONE,,F,0,24/02/2012,2129748088,,941 KELLY STREET,4E,BRONX,NY,10459,,RDILONE@AMGGT.COM,4748064,15926105,
RHIANNA,A,DILONE,,F,889953935,24/02/2012,4844479938,,941 KELLY STREET,4E,BRONX,NY,10459,,,4748084,15703462,

SUSAN,LORRAINE,BOND,,F,0,07/12/2012,9294059135,,1310 NOBLE AVENUE,PH,BRONX,NY,10472,,,4748093,16003306,
SUSAN,L,BOND,,F,880751054,02/10/1989,4849913957,,1310 NOBLE AVENUE,PH,BRONX,NY,10472,,,4748108,16007804,

KATHERINE,,PACK,,F,858072352,25/02/1964,7328983379,,114 W 134 STREET,1C,NEW YORK,NY,10030,,,4748121,15481298,
KATHERINE,,PACK,,F,0,25/02/1934,0,,325 EAST 115TH STREET,205,NEW YORK,NY,10029,,,4748128,15412051,

ALBENY,JOAN,CDRR,,F,898726206,13/04/1987,2673868746,,632 BEACH AVENUE APT22,,FAR ROCKAWAY,NY,11691,,,4748148,15929666,
ALBENY,,CARR,,F,0,13/04/1987,6098236909,,632 BENCH 225TH STREET,,FAR ROCKAWAY,NY,11695,PIANTO,ACARR@AMGGT.COM,4748167,15782867,

JACCIE,,CANNON,,F,898310520,21/12/1925,9735476685,,1316 NOBLE AVENUE,1FLR,BRONX,NY,10472,,,4748180,15865267,
JACCIE,L,CANNON,,F,0,21/12/1935,6096223226,,1605 UNIVERSITY AVENUE,2A,BRONX,NY,10472,,,4748196,15672826,

